1;1;1;"Que tipo de expectativa de conte&uacute;do voc&ecirc; criou a partir da ilustra&ccedil;&atilde;o?";"A ilustra&ccedil;&atilde;o &eacute; uma foto tirada de um sat&eacute;lite. Esse tipo de dado tende a ser utilizado em estudos ambientais. Observe que o t&iacute;tulo e a primeira ora&ccedil;&atilde;o do texto indicam que o foco central desse estudo s&atilde;o as plantas."
1;1;2;"Que projeto est&aacute; usando a imagem de sat&eacute;lite apresentada e qual &eacute; o objetivo principal do projeto?";"O projeto em quest&atilde;o &eacute; o SeaWiFS, da NASA, e seu objetivo &eacute; medir a popula&ccedil;&atilde;o de plantas marinhas microsc&oacute;picas."
1;1;3;"Que outro dado adicional o sat&eacute;lite est&aacute; enviando?";"O sat&eacute;lite est&aacute; enviando dados sobre as plantas terrestres."
1;1;4;"O que os dados do SeaWiFS permitem monitorar?";"Os dados do SeaWiFS permitem monitorar o aumento da produ&ccedil;&atilde;o de algas marinhas t&oacute;xicas."
1;1;5;"Qual a rela&ccedil;&atilde;o que o texto indica entre os dados obtidos pelo projeto e a previs&atilde;o do El Ni&ntilde;o?";"O aumento da popula&ccedil;&atilde;o de phytoplankton indica que h&aacute; um aquecimento da &aacute;gua do mar. Isso permite prever mudan&ccedil;as clim&aacute;ticas, como as causadas pelo efeito El Ni&ntilde;o."
1;1;6;"Considerando o &uacute;ltimo par&aacute;grafo do texto, indique o que o autor est&aacute; apresentando como:<br />a) fatos<br />b) possibilidades";"a) o aquecimento da &aacute;gua do Pac&iacute;fico ocorre em intervalos de poucos anos; a popula&ccedil;&atilde;o de phytoplankton aumenta com o aquecimento do oceano; b) os dados do sat&eacute;lite ajudar&atilde;o a prever mudan&ccedil;as clim&aacute;ticas; os dados do sat&eacute;lite permitir&atilde;o monitorar o aumento das algas t&oacute;xicas."
1;2;1;"As hip&oacute;teses sobre o conte&uacute;do que voc&ecirc; levantou antes de ler o texto foram confirmadas? Se n&atilde;o foram, tente refletir em qu&ecirc; e por qu&ecirc; as informa&ccedil;&otilde;es veiculadas pelo texto diferiram das suas expectativas iniciais.";"Se suas hip&oacute;teses foram diferentes, uma das op&ccedil;&otilde;es abaixo pode ter ocorrido: a) o texto apresenta informa&ccedil;&otilde;es novas sobre o tema (Freud) b) o texto traz informa&ccedil;&otilde;es que v&atilde;o contra o que voc&ecirc; sabe sobe o tema. c) voc&ecirc; tinha expectativas diferentes sobre o tipo de informa&ccedil;&atilde;o veiculada em uma biografia (g&ecirc;nero do texto)"
1;2;2;"Por que Freud teve dificuldade em optar por uma profiss&atilde;o e o que o levou a escolher a medicina?";"Seu interesse por &aacute;reas acad&ecirc;micas era muito amplo  (teorias evolutivas, hist&oacute;ria da cultura e filosofia, qu&iacute;mica, fisiologia e anatomia). O que o levou a optar pela medicina foi seu interesse por fisiologia e anatomia."
1;2;3;"Segundo o texto<br />a) quais as etapas que levaram ao desenvolvimento da psican&aacute;lise?<br />b) por que ela n&atilde;o foi inicialmente bem recebida?";"a) Inicialmente Freud recorreu &agrave; t&eacute;cnica de hipnose para ter acesso &agrave;s lembran&ccedil;as dos pacientes hist&eacute;ricos, proposta por Joseph Breuer.  Posteriormente desenvolveu a t&eacute;cnica de associa&ccedil;&atilde;o livre, que lhe permitiu estudar tanto o fen&ocirc;meno da resist&ecirc;ncia quanto o da transfer&ecirc;ncia. b) Porque houve uma grande rea&ccedil;&atilde;o &agrave;s suas descobertas sobre sexualidade infantil."
1;2;4;"Por que o casamento de Freud com Martha Bernay foi um empecilho para que ele se tornasse um pesquisador desde o in&iacute;cio de sua carreira?";"Antes de mencionar o casamento com Martha Bernay, a senten&ccedil;a informa que Freud n&atilde;o se tornou um pesquisador por problemas financeiros. Pode-se, portanto, deduzir que h&aacute; uma rela&ccedil;&atilde;o entre o casamento e a quest&atilde;o financeira, como, por exemplo, um aumento em seus gastos cotidianos."
